m;x;y;z
5.00;874.00;715.00;83.00
1.00;875.00;970.00;139.00
4.00;838.00;931.00;63.00
5.00;935.00;864.00;131.00
4.00;910.00;735.00;-168.00
2.00;986.00;901.00;138.00
3.00;935.00;823.00;-36.00
3.00;800.00;797.00;-228.00
2.00;1058.00;753.00;-8.00
4.00;944.00;975.00;-1.00
2.00;922.00;1011.00;180.00
2.00;766.00;875.00;-111.00
4.00;846.00;973.00;270.00
4.00;776.00;1021.00;-212.00
3.00;824.00;1018.00;185.00
5.00;1012.00;759.00;13.00
4.00;1098.00;1031.00;22.00
2.00;945.00;813.00;228.00
4.00;918.00;864.00;-42.00
5.00;886.00;745.00;-115.00
1.00;737.00;723.00;24.00
2.00;800.00;902.00;246.00
3.00;1064.00;1024.00;88.00
2.00;766.00;824.00;-191.00
1.00;729.00;1036.00;-118.00
4.00;1113.00;853.00;-203.00
3.00;1112.00;773.00;93.00
1.00;846.00;974.00;227.00
2.00;755.00;915.00;-43.00
2.00;931.00;922.00;-70.00
4.00;758.00;800.00;269.00
5.00;833.00;848.00;212.00
4.00;735.00;765.00;26.00
3.00;767.00;959.00;158.00
1.00;732.00;886.00;0.00
5.00;1118.00;811.00;154.00
3.00;756.00;963.00;-198.00
4.00;1106.00;982.00;229.00
1.00;936.00;818.00;-143.00
4.00;1014.00;918.00;75.00
4.00;845.00;885.00;70.00
4.00;844.00;781.00;-68.00
1.00;751.00;1039.00;-26.00
5.00;954.00;915.00;-215.00
5.00;1099.00;885.00;-118.00
1.00;927.00;1056.00;45.00
4.00;1084.00;885.00;98.00
4.00;1105.00;816.00;-246.00
4.00;948.00;746.00;164.00
4.00;1013.00;1057.00;-195.00
2.00;956.00;1014.00;-183.00
5.00;1041.00;850.00;-30.00
2.00;883.00;828.00;80.00
3.00;780.00;938.00;62.00
3.00;1094.00;882.00;-11.00
2.00;820.00;980.00;-24.00
5.00;1096.00;953.00;-64.00
2.00;868.00;1048.00;-137.00
3.00;806.00;983.00;66.00
1.00;888.00;1065.00;-225.00
2.00;1123.00;1065.00;95.00
4.00;888.00;1073.00;98.00
1.00;976.00;828.00;41.00
5.00;865.00;1009.00;-172.00
5.00;1013.00;891.00;49.00
1.00;956.00;875.00;-14.00
2.00;926.00;982.00;147.00
1.00;794.00;781.00;151.00
3.00;829.00;813.00;-241.00
5.00;1093.00;827.00;4.00
1.00;1034.00;1044.00;79.00
3.00;809.00;1058.00;251.00
3.00;1016.00;1041.00;39.00
5.00;1126.00;829.00;33.00
3.00;861.00;780.00;13.00
4.00;805.00;957.00;45.00
5.00;1109.00;1072.00;245.00
5.00;875.00;1017.00;43.00
1.00;1060.00;1042.00;59.00
2.00;929.00;1029.00;-114.00
2.00;1174.00;1066.00;-81.00
2.00;1166.00;868.00;101.00
2.00;1151.00;953.00;-122.00
4.00;1052.00;1082.00;-49.00
5.00;1027.00;949.00;-146.00
5.00;1037.00;963.00;-140.00
4.00;804.00;913.00;38.00
5.00;966.00;1089.00;-212.00
1.00;841.00;1047.00;-168.00
4.00;1080.00;989.00;60.00
5.00;796.00;873.00;36.00
4.00;1130.00;882.00;91.00
1.00;945.00;963.00;64.00
3.00;1148.00;888.00;97.00
1.00;1168.00;865.00;176.00
4.00;984.00;892.00;186.00
2.00;1133.00;1104.00;-30.00
4.00;904.00;1102.00;-146.00
1.00;826.00;1099.00;-104.00
4.00;1193.00;866.00;-72.00
2.00;1074.00;807.00;-243.00
2.00;1021.00;993.00;-149.00
3.00;878.00;921.00;216.00
4.00;1024.00;843.00;89.00
2.00;1113.00;836.00;200.00
4.00;1134.00;958.00;50.00
3.00;856.00;935.00;-169.00
4.00;1123.00;944.00;-62.00
1.00;846.00;1061.00;244.00
3.00;959.00;865.00;269.00
3.00;1180.00;851.00;43.00
1.00;889.00;1112.00;-31.00
3.00;1010.00;1019.00;19.00
4.00;914.00;1108.00;-229.00
3.00;1062.00;864.00;93.00
4.00;903.00;856.00;-176.00
3.00;832.00;999.00;-52.00
3.00;1107.00;1031.00;114.00
4.00;967.00;1067.00;81.00
1.00;1150.00;1101.00;-17.00
4.00;1065.00;1082.00;-83.00
2.00;997.00;834.00;183.00
3.00;883.00;863.00;-31.00
2.00;960.00;947.00;116.00
3.00;1098.00;851.00;135.00
1.00;1206.00;840.00;-20.00
3.00;1095.00;937.00;-75.00
1.00;1055.00;952.00;11.00
3.00;1134.00;1043.00;-68.00
5.00;1210.00;1086.00;267.00
1.00;1040.00;937.00;-191.00
4.00;1058.00;885.00;-188.00
4.00;846.00;878.00;82.00
5.00;1167.00;925.00;112.00
3.00;983.00;959.00;41.00
3.00;957.00;1087.00;207.00
5.00;917.00;907.00;221.00
1.00;983.00;1074.00;-171.00
2.00;973.00;1003.00;142.00
3.00;953.00;891.00;111.00
5.00;1099.00;1091.00;-83.00
2.00;989.00;943.00;31.00
3.00;998.00;1147.00;-210.00
2.00;1107.00;1069.00;-107.00
1.00;1115.00;1050.00;-71.00
1.00;1110.00;1083.00;-86.00
2.00;1115.00;857.00;-92.00
2.00;1083.00;880.00;60.00
1.00;1130.00;1037.00;203.00
2.00;1146.00;870.00;-213.00
2.00;1119.00;1161.00;-24.00
2.00;1071.00;932.00;1.00
2.00;999.00;1157.00;-247.00
4.00;1180.00;907.00;-28.00
4.00;869.00;862.00;205.00
2.00;994.00;1024.00;120.00
1.00;1125.00;1047.00;20.00
1.00;1092.00;957.00;-189.00
1.00;861.00;1011.00;-80.00
4.00;1106.00;1168.00;260.00
4.00;865.00;1009.00;150.00
4.00;1159.00;926.00;37.00
4.00;1169.00;1172.00;-110.00
5.00;1228.00;901.00;114.00
3.00;1254.00;932.00;-202.00
5.00;976.00;1019.00;57.00
5.00;1146.00;923.00;14.00
3.00;1013.00;1130.00;73.00
1.00;945.00;1140.00;55.00
1.00;1133.00;1031.00;-212.00
4.00;1044.00;1126.00;-124.00
5.00;1116.00;989.00;-159.00
5.00;895.00;1155.00;131.00
5.00;889.00;1106.00;211.00
1.00;917.00;1078.00;101.00
2.00;1157.00;952.00;-60.00
3.00;1100.00;1126.00;-127.00
4.00;1201.00;927.00;-196.00
4.00;1260.00;1176.00;139.00
1.00;977.00;1068.00;157.00
2.00;1119.00;1067.00;-62.00
1.00;983.00;1142.00;-52.00
2.00;1149.00;1079.00;-241.00
4.00;1192.00;958.00;-220.00
3.00;912.00;1108.00;238.00
1.00;1196.00;1127.00;152.00
4.00;921.00;1149.00;45.00
3.00;929.00;957.00;170.00
3.00;1219.00;1134.00;-38.00
1.00;1016.00;904.00;-82.00
2.00;1162.00;1070.00;-12.00
2.00;1100.00;1202.00;-144.00
3.00;949.00;1183.00;51.00
2.00;1113.00;1208.00;-59.00
4.00;1127.00;1054.00;62.00
3.00;1279.00;1125.00;183.00
1.00;907.00;1112.00;215.00
5.00;995.00;938.00;109.00
2.00;992.00;937.00;51.00
5.00;1105.00;1103.00;-181.00
5.00;977.00;1182.00;205.00
4.00;1273.00;1128.00;60.00
4.00;1146.00;1082.00;236.00
5.00;1064.00;1126.00;-198.00
3.00;914.00;999.00;-12.00
4.00;1119.00;1156.00;174.00
5.00;1195.00;1010.00;-20.00
2.00;1105.00;1214.00;-213.00
5.00;997.00;1127.00;-151.00
1.00;1205.00;944.00;153.00
1.00;1229.00;1198.00;-132.00
5.00;1029.00;915.00;-95.00
1.00;1093.00;1030.00;230.00
5.00;1097.00;1037.00;-130.00
3.00;1060.00;922.00;249.00
5.00;1191.00;1125.00;205.00
2.00;995.00;1023.00;-164.00
1.00;927.00;1019.00;173.00
2.00;1273.00;1103.00;104.00
2.00;1174.00;1135.00;-241.00
3.00;1002.00;994.00;-49.00
2.00;1041.00;1065.00;-86.00
5.00;1257.00;1064.00;-5.00
1.00;1314.00;989.00;121.00
5.00;1319.00;1237.00;78.00
1.00;1253.00;1131.00;35.00
5.00;1306.00;1073.00;42.00
2.00;1251.00;983.00;-165.00
1.00;1192.00;1226.00;136.00
3.00;959.00;938.00;-84.00
1.00;971.00;1088.00;-127.00
1.00;1239.00;1078.00;-155.00
3.00;1302.00;1003.00;-157.00
1.00;1276.00;1185.00;175.00
3.00;1203.00;1191.00;-208.00
1.00;1259.00;1132.00;248.00
1.00;1006.00;1189.00;-194.00
4.00;972.00;1117.00;198.00
1.00;973.00;1222.00;-138.00
4.00;1135.00;1217.00;-58.00
5.00;1024.00;1208.00;205.00
3.00;962.00;995.00;104.00
1.00;967.00;954.00;-34.00
2.00;1235.00;941.00;-82.00
5.00;1017.00;1149.00;-110.00
1.00;1095.00;1040.00;5.00
1.00;1093.00;991.00;33.00
1.00;1208.00;1040.00;165.00
3.00;1175.00;1101.00;168.00
5.00;1304.00;999.00;-229.00
3.00;988.00;1195.00;46.00
1.00;1080.00;1115.00;45.00
5.00;1046.00;1041.00;17.00
3.00;1064.00;1173.00;195.00
1.00;1028.00;978.00;125.00
5.00;1181.00;1049.00;-48.00
3.00;1162.00;1058.00;248.00
4.00;958.00;1240.00;140.00
5.00;1112.00;1185.00;237.00
5.00;1331.00;1167.00;-208.00
2.00;1198.00;982.00;112.00
4.00;1079.00;1215.00;-44.00
4.00;984.00;999.00;-103.00
3.00;1051.00;1187.00;184.00
5.00;1222.00;1272.00;95.00
4.00;997.00;1177.00;-133.00
5.00;1139.00;984.00;157.00
4.00;1035.00;1238.00;-70.00
4.00;1123.00;987.00;205.00
4.00;1363.00;1258.00;-55.00
3.00;1197.00;1109.00;-88.00
4.00;1126.00;968.00;-6.00
2.00;1280.00;1206.00;157.00
2.00;1196.00;1054.00;-43.00
3.00;1302.00;1152.00;-8.00
1.00;1348.00;977.00;103.00
4.00;1288.00;985.00;216.00
1.00;1176.00;1164.00;185.00
3.00;1314.00;1151.00;118.00
2.00;1052.00;1256.00;18.00
4.00;1155.00;1148.00;-32.00
3.00;1077.00;1194.00;-9.00
2.00;1049.00;1232.00;64.00
2.00;1104.00;981.00;41.00
1.00;1095.00;1266.00;84.00
4.00;996.00;1025.00;206.00
4.00;1304.00;1152.00;23.00
1.00;1328.00;1223.00;-149.00
4.00;1262.00;1292.00;11.00
4.00;1098.00;1269.00;51.00
2.00;1028.00;1150.00;-74.00
3.00;1040.00;1016.00;-154.00
2.00;1142.00;1236.00;-199.00
4.00;1238.00;1287.00;265.00
5.00;1107.00;998.00;148.00
5.00;1283.00;1184.00;-129.00
4.00;1241.00;1085.00;148.00
4.00;1241.00;1116.00;-226.00
1.00;1216.00;1214.00;-210.00
4.00;1213.00;1308.00;233.00
3.00;1027.00;1060.00;-125.00
4.00;1381.00;1271.00;-200.00
1.00;1052.00;1005.00;238.00
4.00;1225.00;1062.00;-43.00
5.00;1207.00;1136.00;56.00
3.00;1316.00;1169.00;87.00
2.00;1366.00;1047.00;252.00
4.00;1189.00;1063.00;10.00
5.00;1090.00;1068.00;-98.00
5.00;1235.00;1022.00;-117.00
2.00;1072.00;1192.00;-165.00
3.00;1045.00;1234.00;107.00
5.00;1132.00;1261.00;217.00
5.00;1375.00;1175.00;133.00
5.00;1160.00;1050.00;-133.00
3.00;1252.00;1166.00;76.00
4.00;1202.00;1077.00;-4.00
1.00;1267.00;1273.00;77.00
3.00;1040.00;1159.00;133.00
2.00;1189.00;1139.00;223.00
2.00;1342.00;1191.00;-194.00
5.00;1299.00;1320.00;181.00
2.00;1256.00;1171.00;101.00
2.00;1166.00;1225.00;-209.00
3.00;1076.00;1193.00;179.00
5.00;1356.00;1042.00;165.00
1.00;1130.00;1145.00;-99.00
3.00;1137.00;1150.00;141.00
4.00;1180.00;1034.00;44.00
4.00;1097.00;1088.00;22.00
5.00;1210.00;1326.00;-127.00
3.00;1271.00;1112.00;-7.00
1.00;1242.00;1135.00;-77.00
2.00;1372.00;1177.00;-220.00
2.00;1103.00;1333.00;169.00
5.00;1049.00;1347.00;178.00
5.00;1161.00;1288.00;64.00
3.00;1183.00;1287.00;-53.00
1.00;1059.00;1166.00;184.00
3.00;1282.00;1107.00;185.00
3.00;1082.00;1191.00;216.00
3.00;1176.00;1319.00;20.00
1.00;1417.00;1200.00;254.00
3.00;1397.00;1342.00;-63.00
2.00;1090.00;1357.00;203.00
4.00;1395.00;1080.00;-69.00
5.00;1279.00;1101.00;85.00
2.00;1099.00;1133.00;-231.00
2.00;1054.00;1288.00;59.00
3.00;1247.00;1139.00;48.00
1.00;1156.00;1282.00;-133.00
1.00;1287.00;1344.00;42.00
3.00;1320.00;1259.00;-228.00
1.00;1276.00;1289.00;14.00
4.00;1070.00;1226.00;-60.00
2.00;1168.00;1112.00;230.00
2.00;1221.00;1186.00;204.00
5.00;1311.00;1317.00;48.00
5.00;1328.00;1062.00;264.00
2.00;1190.00;1076.00;178.00
3.00;1112.00;1252.00;-36.00
2.00;1184.00;1139.00;-34.00
1.00;1311.00;1173.00;154.00
5.00;1281.00;1268.00;-243.00
4.00;1241.00;1310.00;104.00
2.00;1224.00;1065.00;-218.00
4.00;1270.00;1079.00;-82.00
3.00;1450.00;1100.00;123.00
3.00;1375.00;1259.00;-93.00
5.00;1274.00;1364.00;-200.00
2.00;1446.00;1134.00;216.00
4.00;1323.00;1282.00;-72.00
4.00;1391.00;1250.00;148.00
4.00;1339.00;1346.00;-128.00
1.00;1238.00;1129.00;239.00
3.00;1421.00;1161.00;-6.00
5.00;1257.00;1201.00;196.00
2.00;1236.00;1330.00;-198.00
1.00;1459.00;1203.00;140.00
2.00;1227.00;1165.00;224.00
5.00;1258.00;1286.00;-204.00
1.00;1360.00;1271.00;216.00
1.00;1288.00;1266.00;266.00
2.00;1270.00;1326.00;14.00
2.00;1445.00;1214.00;-181.00
4.00;1382.00;1169.00;-212.00
1.00;1200.00;1341.00;-118.00
3.00;1351.00;1325.00;-212.00
4.00;1447.00;1202.00;-166.00
1.00;1250.00;1315.00;-107.00
3.00;1178.00;1350.00;-5.00
3.00;1377.00;1231.00;58.00
3.00;1138.00;1406.00;-46.00
3.00;1214.00;1129.00;177.00
1.00;1112.00;1196.00;46.00
3.00;1436.00;1297.00;-150.00
1.00;1392.00;1220.00;-153.00
3.00;1202.00;1369.00;-192.00
5.00;1405.00;1178.00;14.00
4.00;1107.00;1414.00;37.00
1.00;1113.00;1280.00;-166.00
4.00;1101.00;1286.00;74.00
4.00;1201.00;1237.00;132.00
3.00;1156.00;1312.00;102.00
4.00;1220.00;1195.00;169.00
4.00;1202.00;1240.00;73.00
5.00;1319.00;1243.00;69.00
4.00;1141.00;1310.00;120.00
2.00;1139.00;1144.00;216.00
3.00;1149.00;1105.00;15.00
2.00;1457.00;1217.00;252.00
2.00;1199.00;1388.00;-77.00
1.00;1365.00;1375.00;7.00
1.00;1458.00;1152.00;225.00
5.00;1484.00;1217.00;123.00
5.00;1251.00;1210.00;36.00
2.00;1401.00;1364.00;-237.00
3.00;1371.00;1127.00;-145.00
1.00;1240.00;1134.00;147.00
2.00;1220.00;1212.00;-91.00
4.00;1331.00;1195.00;-217.00
3.00;1229.00;1312.00;98.00
2.00;1317.00;1361.00;221.00
1.00;1504.00;1364.00;161.00
2.00;1344.00;1230.00;-29.00
2.00;1233.00;1427.00;165.00
3.00;1464.00;1295.00;-150.00
5.00;1454.00;1187.00;63.00
3.00;1417.00;1136.00;-181.00
2.00;1213.00;1210.00;93.00
2.00;1497.00;1129.00;127.00
4.00;1406.00;1382.00;209.00
4.00;1401.00;1179.00;203.00
5.00;1161.00;1300.00;112.00
1.00;1236.00;1345.00;230.00
5.00;1359.00;1131.00;190.00
4.00;1133.00;1304.00;-53.00
5.00;1137.00;1289.00;-77.00
2.00;1375.00;1150.00;164.00
4.00;1462.00;1283.00;-69.00
5.00;1473.00;1294.00;-229.00
2.00;1447.00;1397.00;-186.00
4.00;1342.00;1341.00;112.00
5.00;1420.00;1160.00;111.00
4.00;1418.00;1218.00;152.00
2.00;1198.00;1271.00;247.00
4.00;1249.00;1301.00;-42.00
1.00;1250.00;1170.00;-39.00
2.00;1218.00;1247.00;-33.00
3.00;1499.00;1271.00;-201.00
5.00;1282.00;1349.00;-231.00
1.00;1481.00;1206.00;208.00
5.00;1206.00;1264.00;-93.00
5.00;1420.00;1372.00;140.00
5.00;1181.00;1265.00;-46.00
3.00;1243.00;1392.00;-71.00
1.00;1235.00;1370.00;-72.00
1.00;1227.00;1343.00;-146.00
4.00;1283.00;1189.00;-90.00
5.00;1211.00;1319.00;203.00
5.00;1227.00;1302.00;-146.00
5.00;1208.00;1412.00;31.00
4.00;1419.00;1312.00;26.00
5.00;1297.00;1332.00;-209.00
4.00;1514.00;1419.00;-198.00
1.00;1298.00;1212.00;-130.00
1.00;1257.00;1413.00;102.00
2.00;1210.00;1284.00;218.00
1.00;1392.00;1453.00;94.00
4.00;1273.00;1268.00;-198.00
5.00;1463.00;1333.00;-143.00
4.00;1552.00;1228.00;-51.00
5.00;1470.00;1439.00;-142.00
2.00;1229.00;1476.00;116.00
3.00;1280.00;1322.00;254.00
5.00;1366.00;1369.00;255.00
4.00;1276.00;1327.00;2.00
3.00;1186.00;1176.00;-211.00
4.00;1421.00;1368.00;9.00
2.00;1449.00;1176.00;233.00
5.00;1201.00;1369.00;253.00
3.00;1483.00;1287.00;23.00
1.00;1259.00;1441.00;92.00
5.00;1350.00;1434.00;139.00
3.00;1434.00;1352.00;161.00
3.00;1522.00;1374.00;160.00
4.00;1292.00;1289.00;-78.00
3.00;1233.00;1432.00;-103.00
2.00;1370.00;1432.00;100.00
5.00;1544.00;1385.00;55.00
1.00;1190.00;1242.00;-40.00
3.00;1555.00;1260.00;-244.00
4.00;1469.00;1191.00;270.00
5.00;1268.00;1457.00;-1.00
5.00;1543.00;1337.00;-213.00
4.00;1216.00;1388.00;44.00
3.00;1439.00;1195.00;20.00
3.00;1446.00;1295.00;31.00
3.00;1552.00;1479.00;146.00
3.00;1590.00;1286.00;-225.00
3.00;1200.00;1214.00;-149.00
4.00;1283.00;1371.00;80.00
3.00;1412.00;1471.00;0.00
2.00;1365.00;1421.00;184.00
5.00;1262.00;1280.00;-3.00
4.00;1565.00;1436.00;-18.00
3.00;1525.00;1336.00;199.00
1.00;1524.00;1331.00;27.00
2.00;1340.00;1268.00;-85.00
1.00;1208.00;1427.00;-186.00
4.00;1484.00;1416.00;243.00
2.00;1487.00;1479.00;-244.00
2.00;1432.00;1517.00;161.00
1.00;1266.00;1374.00;-25.00
3.00;1253.00;1385.00;223.00
2.00;1260.00;1327.00;-88.00
5.00;1460.00;1231.00;93.00
5.00;1248.00;1214.00;185.00
3.00;1494.00;1516.00;-85.00
5.00;1494.00;1428.00;-151.00
3.00;1574.00;1524.00;-149.00
4.00;1447.00;1517.00;172.00
3.00;1373.00;1400.00;22.00
5.00;1344.00;1451.00;169.00
1.00;1575.00;1478.00;-183.00
1.00;1541.00;1239.00;-8.00
1.00;1577.00;1417.00;-134.00
4.00;1309.00;1377.00;-188.00
4.00;1499.00;1497.00;203.00
4.00;1463.00;1256.00;-188.00
1.00;1282.00;1382.00;109.00
2.00;1316.00;1360.00;164.00
2.00;1464.00;1297.00;204.00
5.00;1398.00;1522.00;54.00
5.00;1318.00;1454.00;-48.00
2.00;1531.00;1361.00;-196.00
5.00;1522.00;1296.00;-196.00
2.00;1264.00;1268.00;-45.00
5.00;1300.00;1397.00;99.00
2.00;1572.00;1442.00;-116.00
4.00;1559.00;1421.00;38.00
1.00;1294.00;1253.00;-163.00
5.00;1631.00;1434.00;-236.00
5.00;1586.00;1316.00;27.00
2.00;1279.00;1285.00;-188.00
2.00;1294.00;1447.00;170.00
1.00;1499.00;1446.00;-49.00
1.00;1640.00;1308.00;16.00
4.00;1574.00;1548.00;220.00
1.00;1476.00;1357.00;-35.00
2.00;1293.00;1405.00;-183.00
4.00;1277.00;1496.00;-216.00
4.00;1573.00;1385.00;-208.00
1.00;1371.00;1552.00;-125.00
5.00;1512.00;1449.00;-134.00
3.00;1508.00;1362.00;172.00
3.00;1356.00;1316.00;266.00
3.00;1588.00;1348.00;-169.00
2.00;1311.00;1284.00;49.00
2.00;1593.00;1366.00;57.00
4.00;1469.00;1290.00;-229.00
5.00;1546.00;1368.00;-187.00
2.00;1504.00;1282.00;-12.00
5.00;1261.00;1295.00;181.00
4.00;1336.00;1377.00;25.00
2.00;1542.00;1529.00;-106.00
2.00;1414.00;1382.00;191.00
5.00;1501.00;1297.00;-22.00
4.00;1664.00;1433.00;225.00
3.00;1320.00;1360.00;9.00
5.00;1457.00;1277.00;-84.00
2.00;1477.00;1308.00;162.00
2.00;1631.00;1309.00;-205.00
3.00;1593.00;1314.00;-3.00
2.00;1360.00;1520.00;-154.00
1.00;1332.00;1403.00;79.00
5.00;1382.00;1308.00;-169.00
1.00;1406.00;1512.00;11.00
5.00;1407.00;1425.00;-65.00
4.00;1377.00;1591.00;-15.00
5.00;1566.00;1438.00;-212.00
5.00;1668.00;1393.00;259.00
3.00;1513.00;1293.00;214.00
4.00;1315.00;1460.00;-35.00
5.00;1628.00;1517.00;-174.00
1.00;1583.00;1517.00;234.00
4.00;1295.00;1512.00;223.00
3.00;1456.00;1391.00;-32.00
4.00;1370.00;1550.00;-103.00
4.00;1540.00;1573.00;80.00
3.00;1340.00;1456.00;61.00
5.00;1650.00;1590.00;-65.00
5.00;1647.00;1463.00;165.00
2.00;1683.00;1350.00;76.00
2.00;1687.00;1575.00;85.00
1.00;1331.00;1329.00;6.00
5.00;1355.00;1300.00;-131.00
3.00;1685.00;1584.00;-232.00
2.00;1380.00;1339.00;60.00
4.00;1433.00;1545.00;105.00
4.00;1656.00;1538.00;-165.00
5.00;1561.00;1468.00;-162.00
5.00;1335.00;1379.00;50.00
3.00;1679.00;1302.00;9.00
5.00;1544.00;1572.00;168.00
5.00;1579.00;1575.00;-108.00
3.00;1387.00;1565.00;204.00
4.00;1438.00;1460.00;206.00
4.00;1677.00;1405.00;-30.00
5.00;1684.00;1410.00;-201.00
5.00;1624.00;1511.00;-145.00
3.00;1453.00;1368.00;-52.00
3.00;1695.00;1560.00;-57.00
1.00;1618.00;1571.00;239.00
1.00;1356.00;1508.00;-88.00
5.00;1582.00;1596.00;179.00
4.00;1558.00;1542.00;185.00
1.00;1445.00;1481.00;-233.00
3.00;1329.00;1449.00;-243.00
5.00;1641.00;1391.00;-28.00
3.00;1627.00;1636.00;33.00
5.00;1392.00;1471.00;-148.00
4.00;1487.00;1519.00;-84.00
2.00;1656.00;1377.00;-151.00
5.00;1512.00;1348.00;-136.00
2.00;1456.00;1352.00;-161.00
3.00;1451.00;1374.00;-197.00
3.00;1553.00;1353.00;-157.00
2.00;1413.00;1414.00;127.00
1.00;1395.00;1442.00;-59.00
4.00;1327.00;1558.00;110.00
5.00;1556.00;1433.00;-207.00
5.00;1565.00;1342.00;271.00
5.00;1329.00;1460.00;19.00
1.00;1518.00;1466.00;85.00
5.00;1658.00;1647.00;-115.00
1.00;1486.00;1405.00;173.00
1.00;1467.00;1366.00;212.00
2.00;1591.00;1459.00;-137.00
2.00;1364.00;1381.00;-151.00
4.00;1654.00;1460.00;41.00
4.00;1556.00;1419.00;39.00
5.00;1650.00;1476.00;-25.00
5.00;1484.00;1595.00;245.00
2.00;1679.00;1348.00;252.00
4.00;1588.00;1639.00;208.00
5.00;1409.00;1398.00;-18.00
3.00;1717.00;1410.00;-20.00
3.00;1726.00;1487.00;227.00
2.00;1563.00;1624.00;-217.00
2.00;1640.00;1363.00;-65.00
2.00;1597.00;1615.00;47.00
4.00;1558.00;1576.00;116.00
3.00;1420.00;1434.00;182.00
3.00;1569.00;1660.00;-169.00
2.00;1700.00;1575.00;-5.00
2.00;1649.00;1389.00;198.00
2.00;1549.00;1433.00;-85.00
1.00;1449.00;1673.00;-118.00
5.00;1522.00;1473.00;-168.00
2.00;1387.00;1400.00;243.00
2.00;1586.00;1615.00;46.00
1.00;1753.00;1574.00;50.00
1.00;1728.00;1372.00;8.00
5.00;1528.00;1569.00;173.00
1.00;1489.00;1469.00;50.00
1.00;1724.00;1594.00;-199.00
5.00;1679.00;1611.00;30.00
2.00;1759.00;1617.00;-158.00
2.00;1719.00;1526.00;-76.00
5.00;1579.00;1521.00;75.00
2.00;1630.00;1670.00;200.00
2.00;1522.00;1459.00;217.00
3.00;1573.00;1493.00;235.00
2.00;1492.00;1585.00;-246.00
4.00;1375.00;1517.00;193.00
3.00;1706.00;1670.00;-89.00
1.00;1761.00;1507.00;-197.00
4.00;1712.00;1654.00;110.00
5.00;1501.00;1634.00;-11.00
1.00;1631.00;1378.00;-162.00
1.00;1409.00;1661.00;235.00
2.00;1580.00;1514.00;-156.00
3.00;1646.00;1612.00;-30.00
2.00;1610.00;1650.00;-145.00
5.00;1626.00;1537.00;96.00
2.00;1390.00;1480.00;160.00
2.00;1717.00;1464.00;-59.00
